,time,weekday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,sleep
24,2014-04-14,0,6.8,0.0,0.8,0.21426006698733974,5043.708999395367,1.0,1.0,1795.689,3482.2999999999997,1717.519,0.0,0.0,651.829,63.711,0.0,0.0,0.0,0.0,,14.799654722222222
25,2014-04-15,1,7.6,0.2,0.8,0.34488126284996745,3870.282999277116,6.0,0.0,734.2210000000001,2152.39,1772.462,28.19,0.0,6.025,83.089,41.365,0.0,11.226,17.303,,12.640289444444445
26,2014-04-16,2,8.0,0.8,1.0,0.08076778687726804,4225.89099955559,1.0,0.0,246.40699999999998,771.137,3058.839,18.113,0.0,33.186,204.55499999999998,0.0,0.0,12.082,0.0,,16.162555833333332
27,2014-04-17,3,7.5,0.25,1.0,0.14941239316239333,5866.815000057217,3.0,2.0,1782.112,2262.388000000001,1655.9350000000002,172.576,0.0,0.0,166.83299999999997,0.0,0.0,38.227999999999994,38.993,,13.0
28,2014-04-18,4,7.25,0.0,0.75,0.039813244668054075,6243.610000371931,8.0,0.0,1798.719,1850.9959999999999,3761.725,0.0,0.0,183.844,47.489000000000004,0.0,0.0,104.38600000000001,7.954,,15.0
29,2014-04-19,5,7.8,0.6,0.8,0.27659732662626135,1558.5330004692073,4.0,1.0,117.62400000000001,705.72,609.881,0.0,0.0,0.0,54.535,0.0,69.034,15.168,0.0,,14.778796388888889
30,2014-04-20,6,8.0,0.25,1.25,0.15116131265868876,3142.534999370575,3.0,2.0,489.672,1072.362,1122.245,0.0,0.0,0.0,31.033,0.0,26.617,225.16000000000003,0.0,,17.25623361111111
31,2014-04-21,0,7.0,0.0,0.8,0.05588534680028405,4396.129000425343,3.0,0.0,723.0600000000001,621.2579999999999,2274.3630000000003,23.194,0.0,0.0,1422.1580000000001,0.0,167.219,0.0,5.461,,15.15779611111111
32,2014-04-22,1,7.6,0.4,1.0,0.13157357238691508,5898.068000555039,0.0,0.0,126.094,1795.2870000000003,4512.179999999999,0.0,0.0,39.547999999999995,339.681,0.0,0.0,0.0,0.0,,23.42570638888889
33,2014-04-23,2,7.0,0.8,0.6,0.10783816005741143,3866.9869995117197,0.0,1.0,145.374,1435.2730000000001,2032.2730000000001,159.123,0.0,0.0,60.476,0.0,0.0,23.108,0.0,,15.403681388888888
34,2014-04-24,3,7.6,-0.2,1.0,0.17909790688681293,5117.668000221253,0.0,0.0,115.67500000000001,2658.261,2094.191,52.354,0.0,0.0,164.967,0.0,0.0,24.156,0.0,,16.893723333333334
35,2014-04-25,4,7.5,-0.5,1.0,0.0653751766193203,8758.004999876019,0.0,0.0,42.124,7401.722,1830.873,30.254,0.0,178.498,57.556,0.0,0.0,17.439,10.174,,15.731333055555556
36,2014-04-26,5,7.25,-1.0,1.0,0.1348900176361417,4282.003998994826,4.0,3.0,391.96299999999997,801.082,2868.99,13.049,0.0,0.0,80.482,19.455000000000002,0.0,54.501,0.0,,18.890285833333333
37,2014-04-27,6,7.8,-1.0,1.0,0.2370801891511396,5323.255000114445,0.0,2.0,60.267999999999994,1404.2210000000002,4428.078,0.0,0.0,0.0,1282.6329999999998,0.0,160.098,0.0,0.0,,13.0
38,2014-04-28,0,7.0,-1.2,1.0,0.09774534851198297,4794.290999412537,1.0,0.0,118.209,2794.5560000000005,7832.6,16.065,0.0,0.0,1212.129,7.876,380.834,61.76199999999999,13.238,,16.011046111111114
39,2014-04-29,1,7.2,-1.0,1.0,0.1680723053319128,3249.798998832703,0.0,0.0,20.779,1844.7209999999998,995.8739999999999,35.269999999999996,0.0,6.506,60.016,0.0,0.0,11.08,0.0,,13.591738611111111
40,2014-04-30,2,7.0,-1.0,1.0,0.16005701431175595,4560.576998949049,0.0,0.0,191.08799999999997,1865.9189999999999,2030.749,456.276,0.0,0.0,92.785,0.0,0.0,13.057,16.27,,11.074970833333332
41,2014-05-01,3,7.2,-1.0,1.0,0.10591865045721187,3123.779000043868,1.0,0.0,1824.3770000000002,1086.4279999999999,2489.3160000000003,0.0,0.0,61.166,64.075,0.0,0.0,41.5,12.198,,12.544768888888889
42,2014-05-02,4,7.6,-1.0,1.4,0.1485511445957694,6597.650000333786,10.0,1.0,274.71500000000003,895.4429999999999,4159.1,43.224000000000004,0.0,0.0,723.066,0.0,161.913,0.0,20.623,,14.8548875
43,2014-05-03,5,7.5,-0.875,1.0,0.14092545802104614,7109.2470006942785,5.0,0.0,550.479,687.3760000000001,3246.7099999999996,0.0,0.0,0.0,60.175000000000004,0.0,72.50900000000001,0.0,19.621000000000002,,14.771893055555557
44,2014-05-04,6,7.4,-0.8,0.8,0.13378616580193498,2263.989999294281,4.0,0.0,80.634,602.0170000000002,1522.372,0.0,0.0,0.0,38.718999999999994,0.0,0.0,15.146,0.0,,15.287813333333332
45,2014-05-05,0,7.25,-0.75,1.0,0.11731475595111956,4112.060000658036,2.0,1.0,124.64399999999999,405.274,3137.0070000000005,13.243,0.0,0.0,248.23299999999998,0.0,130.482,41.416,6.155,,20.007875000000002
46,2014-05-07,2,7.833333333333333,-0.8333333333333334,1.0,0.188161568716641,5969.339999437334,2.0,0.0,1288.139,2611.185,1860.228,0.0,0.0,28.807000000000002,255.88599999999997,0.0,0.0,152.65,0.0,,11.5143075
