,date,weekday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,mood_std,circumplex.arousal_std,circumplex.valence_std,activity_std,days
0,2014-03-21,4,6.4,-0.6,0.4,0.1733855664203312,10506.898999214174,9.0,0.0,2765.003,2927.5060000000003,214.909,413.512,0.0,0.0,3858.509,1411.919,63.638,0.0,0.0,0.0,0.0,0.0,0.0,0.1492597506796987,0
1,2014-03-22,5,5.8,-0.6,0.0,0.0960004667169809,12238.16700005531,0.0,0.0,5753.343999999999,4851.759,604.668,281.008,0.0,0.0,1110.389,1862.0810000000004,0.0,0.0,12.133,0.0,0.0,0.0,0.0,0.1124147562512343,1
2,2014-03-23,6,6.0,-0.6,0.2,0.0664366525273635,8890.100001811983,0.0,0.0,5172.019,3209.2239999999997,315.57700000000006,159.62400000000002,0.0,0.0,304.809,1348.606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1105738929053053,2
3,2014-03-24,0,6.5,-1.0,0.25,0.0818347795982825,12546.41900038719,0.0,0.0,3389.1180000000004,6946.742000000001,465.086,868.4489999999998,0.0,0.0,439.074,950.617,210.029,0.0,0.0,0.0,0.0,0.0,0.0,0.1232948581185838,3
4,2014-03-25,1,5.75,-0.25,0.0,0.0869440958385846,13155.095999240875,1.0,1.0,5014.601000000001,5569.083,0.0,377.516,0.0,0.0,1517.7050000000002,1172.6940000000002,1469.523,0.0,0.0,0.0,0.0,0.0,0.0,0.1394627363046635,4
5,2014-03-26,2,7.0,-0.2,1.0,0.136183361772669,10784.664999961851,1.0,1.0,3035.878,4654.136,517.605,6.048,0.0,0.0,1899.1490000000003,1055.6129999999998,104.189,0.0,0.0,0.0,0.0,0.0,0.0,0.1750940648848547,5
6,2014-03-27,3,6.6,-1.0,0.8,0.0802468657812024,12552.150002241136,1.0,0.0,1914.585,9562.313,245.311,155.584,0.0,0.0,98.693,1623.8839999999998,1.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0933227226262065,6
7,2014-03-28,4,6.2,-0.4,0.6,0.0696839987353426,11750.760998725891,1.0,0.0,6551.704,7143.946999999999,161.928,223.365,0.0,0.0,309.146,1189.358,0.0,13.838,0.0,0.0,0.0,0.0,0.0,0.0771185246585815,7
8,2014-03-29,5,8.0,-0.25,1.25,0.1656428709394811,4674.609998226168,1.0,1.0,3150.464,1853.369,11.45,155.06099999999998,0.0,0.0,33.428,821.441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2070089945198439,8
9,2014-03-30,6,6.5,-1.0,1.0,0.0095518223106877,2666.268000602723,1.0,0.0,26314.185999999994,520.243,0.0,0.0,0.0,0.0,24.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0163420238372594,9
10,2014-03-31,0,6.75,-0.25,0.75,0.0465551757426134,3093.012999773025,4.0,2.0,3419.8880000000004,1041.851,0.0,0.0,0.0,0.0,39.337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1261258125860692,10
11,2014-04-01,1,6.2,0.0,0.4,0.0520055667194414,430.883999824524,0.0,0.0,262.253,95.12,0.0,0.0,0.0,0.0,40.202,32.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1234198349278342,11
12,2014-04-02,2,7.0,-1.0,1.0,0.0634875031248197,779.8729991912842,0.0,0.0,1549.849,160.76300000000003,0.0,0.0,0.0,0.0,14.067,71.732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1110792525599072,12
13,2014-04-03,3,7.333333333333333,-0.5,1.0,0.0693870939180269,2372.658999443057,0.0,0.0,1613.333,373.998,0.0,8.059,0.0,0.0,67.906,46.582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1158054550744675,13
14,2014-04-04,4,7.5,-1.0,1.0,0.0038194444444444,307.5409996509551,0.0,0.0,239.324,36.288,0.0,0.0,0.0,0.0,31.473000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104196855528818,14
15,2014-04-05,5,7.4,-1.6,0.6,0.0166784369114877,1485.8990004062653,0.0,0.0,1584.1660000000002,755.504,0.0,0.0,0.0,3.011,66.697,79.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0366139732216108,15
