,date,weekday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,mood_std,circumplex.arousal_std,circumplex.valence_std,activity_std,days
16,2014-04-06,6,7.4,-1.0,1.0,0.0290152360379179,1263.3870003223417,1.0,0.0,1628.3430000000003,6760.954,0.0,0.0,0.0,0.0,44.724,109.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0736585829657007,16
17,2014-04-07,0,7.0,-0.2,1.0,0.0088273571547559,550.3640000820161,0.0,1.0,224.36499999999995,106.627,0.0,0.0,0.0,0.0,84.59699999999998,133.944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0185769423264034,17
18,2014-04-08,1,6.8,-0.2,0.8,0.0395920868347338,452.8569993972778,1.0,0.0,40323.877,67.482,0.0,0.0,0.0,0.0,47.408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0750284240376002,18
19,2014-04-09,2,8.0,0.3333333333333333,1.0,0.1170868347338935,1098.342000484467,0.0,0.0,879.335,166.576,0.0,0.0,0.0,0.0,30.412,13.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1765301406592343,19
20,2014-04-10,3,6.666666666666667,-0.3333333333333333,1.0,0.0520108043217287,846.4809994697566,0.0,0.0,881.5429999999999,18.882,0.0,0.0,0.0,0.0,23.165,29.299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1061119304153773,20
21,2014-04-11,4,7.75,1.0,1.0,0.0261379551820728,552.9420001506808,2.0,0.0,5877.101999999998,19.197,0.0,0.0,0.0,0.0,61.623,66.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0616267612167509,21
22,2014-04-12,5,7.5,0.0,1.0,0.0636818215986959,115.9870002269745,0.0,0.0,93.682,0.0,0.0,0.0,0.0,0.0,22.239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1322137256522883,22
23,2014-04-14,0,7.5,0.0,1.0,0.0066666666666666,327.7780001163484,0.0,0.0,168.58999999999995,40.208,0.0,0.0,0.0,0.0,2939.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141561585678045,24
24,2014-04-15,1,6.0,-1.0,0.3333333333333333,0.0018079959256429,321.80199980735784,0.0,0.0,3100.845,52.448,0.0,0.0,0.0,0.0,28.393,15.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062124505665678,25
25,2014-04-16,2,6.0,0.5,0.25,0.0585200746965452,742.9860000610349,0.0,0.0,5338.439000000001,13.135,0.0,0.0,0.0,0.0,55.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0917802506082549,26
26,2014-04-17,3,6.2,0.0,0.4,0.0531600140056022,801.4089996814733,0.0,1.0,12956.375,50.411,0.0,0.0,0.0,77.54299999999999,85.616,18.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0945809662421034,27
27,2014-04-18,4,6.5,-1.0,0.0,0.0208333333333333,106.7050001621246,0.0,0.0,102.985,39.213,0.0,0.0,0.0,0.0,28.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0751156515721663,28
28,2014-04-19,5,6.75,0.25,1.0,0.0017390289449112,258.98600029945374,0.0,1.0,131.963,78.107,0.0,0.0,0.0,0.0,48.378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069443322929667,29
29,2014-04-20,6,7.5,-1.0,0.5,0.0079977824463118,863.2370004653926,0.0,1.0,430.8519999999999,211.953,0.0,0.0,169.699,0.0,50.403000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0152637735685198,30
30,2014-04-21,0,7.0,0.25,1.0,0.0421278379772961,596.8669996261602,1.0,0.0,1865.869,322.493,0.0,0.0,0.0,0.0,33.201,18.149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0796027511543568,31
31,2014-04-22,1,7.0,-0.4,0.6,0.0076325457719319,727.9210000038145,1.0,1.0,1740.156,142.346,0.0,0.0,0.0,0.0,42.314,198.966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0162464659183584,32
32,2014-04-23,2,7.0,-1.0,0.3333333333333333,0.0446663004282172,657.5240001678465,0.0,0.0,517.355,50.783,0.0,0.0,0.0,0.0,46.382000000000005,14.192,47.435,0.0,0.0,0.0,0.0,0.0,0.0,0.0911247337743838,33
33,2014-04-24,3,7.333333333333333,0.3333333333333333,1.0,0.0647058823529411,620.213000059128,0.0,0.0,383.367,75.65,0.0,0.0,0.0,32.423,33.272000000000006,0.0,94.266,0.0,0.0,0.0,0.0,0.0,0.0,0.1192980559095194,34
34,2014-04-25,4,8.0,0.8,1.4,0.0059056956115779,805.6799995899205,0.0,0.0,1985.564,511.516,0.0,0.0,0.0,0.0,73.436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0146376630805494,35
35,2014-04-26,5,8.0,-1.0,1.0,0.1334975369458128,184.45900034904489,0.0,1.0,9402.421,29.208,0.0,0.0,0.0,0.0,15.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266569194995725,36
36,2014-04-27,6,7.666666666666667,0.0,1.0,0.0031249999999999,439.1410000324257,0.0,0.0,233.617,162.703,0.0,0.0,0.0,0.0,42.509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0084457990586521,37
37,2014-04-30,2,7.0,1.0,1.0,0.0567460317460317,172.03800010681152,0.0,0.0,145.39999999999998,8.086,0.0,0.0,0.0,0.0,18.492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1194204479402225,40
38,2014-05-01,3,6.0,0.0,0.5,0.0829640707507107,302.8090000152587,0.0,0.0,133.464,0.0,0.0,0.0,0.0,0.0,30.71,179.511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1550993042478619,41
39,2014-05-02,4,6.666666666666667,0.3333333333333333,1.0,0.0125,288.2680001258849,0.0,0.0,240.869,7.036,0.0,0.0,0.0,0.0,51.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0167820082966591,42
40,2014-05-03,5,6.8,0.2,1.0,0.0038194444444444,694.1940002441409,0.0,0.0,489.037,117.48,0.0,0.0,0.0,0.0,66.292,21.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0088530565516073,43
41,2014-05-04,6,6.8,0.0,0.8,0.0006944444444444,354.1380004882811,0.0,0.0,209.419,59.026,0.0,0.0,0.0,0.0,54.526,31.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023527487607219,44
42,2014-05-05,0,7.0,-1.0,1.0,0.0064935064935064,199.8310003280639,0.0,0.0,4698.054,121.704,0.0,0.0,0.0,0.0,15.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0242964765374931,45
