,date,weekday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,mood_std,circumplex.arousal_std,circumplex.valence_std,activity_std,days
0,2014-03-13,3,8.0,-0.5,1.5,,206.30899977684,5.0,0.0,49.139,184.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
1,2014-03-14,4,7.4,-0.4,0.75,,46.0409998893738,1.0,3.0,9.964,6.877,0.0,0.0,0.0,0.0,29.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1
2,2014-03-15,5,6.4,0.4,0.8,,485.9710001945492,0.0,2.0,132.11399999999998,133.3,65.813,40.192,0.0,0.0,10.025,103.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2
3,2014-03-16,6,6.6,-0.8,0.5,,364.691999912262,0.0,3.0,185.558,120.445,0.0,19.082,0.0,0.0,38.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3
4,2014-03-17,0,7.2,-0.6,0.6,0.0607142857142857,714.3029994964597,0.0,0.0,47.283,434.677,0.0,0.0,0.0,0.0,15.073,216.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0722570995499691,4
5,2014-03-18,1,6.6,0.4,0.6,0.0539119099263999,786.311000823975,4.0,1.0,190.195,464.504,96.551,22.1,0.0,0.0,11.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1489599031322425,5
6,2014-03-19,2,6.4,0.0,0.6,0.0056277056277056,26.35700011253359,0.0,0.0,32.349000000000004,0.0,17.332,0.0,0.0,0.0,22.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0145015432195784,6
7,2014-03-20,3,5.666666666666667,0.6666666666666666,0.3333333333333333,0.0438382265359666,412.8229997158053,2.0,4.0,323.71700000000004,97.727,15.348,0.0,0.0,0.0,10.029,69.902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0712129158321563,7
8,2014-03-21,4,6.8,1.0,1.0,0.060560360921981,285.03099989891007,2.0,0.0,103.69,124.30899999999998,5.041,0.0,0.0,0.0,0.0,125.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2046962164142692,8
9,2014-03-22,5,6.5,0.5,0.75,0.0667704125720945,1155.7909998893738,3.0,2.0,87.42399999999999,189.521,93.442,0.0,0.0,0.0,10.077,15.412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1758659749043183,9
