,date,weekday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
7,2014-04-02,2,6.0,-0.4,0.3333333333333333,0.14706022748475053,13215.448000431054,3.0,0.0,841.662,2319.8669999999997,759.095,128.498,0.0,397.502,77.77900000000001,2587.3720000000003,25.71,0.0,0.0,
8,2014-04-03,3,5.4,0.4,0.0,0.1573412698412698,10063.442001819609,3.0,0.0,2386.118,2760.7750000000005,1194.806,133.62,0.0,848.027,40.63,4213.197,373.78600000000006,0.0,0.0,
9,2014-04-04,4,6.5,0.75,0.6666666666666666,0.13877989048726838,7406.303998708725,8.0,3.0,1238.833,1244.954,359.466,0.0,0.0,525.1369999999998,45.5,2331.8979999999997,1689.1170000000002,0.0,0.0,
10,2014-04-05,5,6.2,0.0,0.4,0.15029831343020303,4866.7180008888245,3.0,1.0,1613.1799999999998,212.43999999999997,1451.876,39.611000000000004,4.009,0.0,66.791,2087.2580000000003,214.084,0.0,0.0,
11,2014-04-06,6,6.25,0.25,0.75,0.08721111947339888,2818.029000282286,0.0,0.0,567.6200000000002,165.981,636.3249999999999,0.0,0.0,0.0,39.345,1061.8390000000002,346.34400000000005,0.0,0.0,
12,2014-04-07,0,6.4,0.2,1.0,0.12565511935667537,5998.4570002555865,0.0,0.0,1598.4450000000002,654.4440000000002,777.991,49.379,108.33800000000001,5.036,59.736000000000004,2723.0260000000003,248.585,0.0,42.897999999999996,
13,2014-04-08,1,6.25,0.0,0.25,0.11765497159315708,7995.541000366211,2.0,0.0,3070.942,1390.59,1452.7679999999998,196.12099999999998,0.0,98.882,44.583000000000006,3365.645,117.344,0.0,0.0,
14,2014-04-09,2,5.25,0.0,-0.5,0.16551672904404247,11045.185998439789,0.0,0.0,30519.817999999992,1768.844,2337.6539999999995,38.118,179.81300000000002,179.947,41.01,3970.779,65.869,0.0,17.396,
15,2014-04-10,3,6.4,0.2,0.6,0.1338207834315732,7782.513999700544,0.0,0.0,2114.5299999999997,547.5509999999999,438.221,0.0,5.149,0.0,56.132,4960.509,0.0,0.0,0.0,
16,2014-04-11,4,6.6,-0.5,1.0,0.07151068346684089,4888.17499804497,2.0,0.0,9721.517000000002,169.195,381.991,0.0,0.0,0.0,45.553000000000004,2574.388,232.48200000000003,0.0,0.0,
17,2014-04-12,5,6.8,0.0,0.8,0.08403201429421402,7295.19900035858,0.0,0.0,2864.401,1886.5419999999997,673.54,0.0,0.0,11.059,72.906,2253.308,597.0329999999998,0.0,12.068,
18,2014-04-13,6,5.6,0.6,0.0,0.09538332496422718,8651.996002197266,3.0,0.0,1239.1779999999999,1637.873,1137.7169999999999,0.0,0.0,45.218,70.062,4090.987,156.096,0.0,5.019,
19,2014-04-14,0,6.6,-0.4,0.8,0.08742418577600534,7834.323999404909,1.0,0.0,1622.191,1086.819,1671.033,22.081000000000003,0.0,0.0,74.52100000000002,3227.4790000000003,0.0,0.0,10.109,
20,2014-04-15,1,6.8,0.2,1.0,0.12005049713493486,7183.0249993801135,6.0,0.0,2352.609,2162.354,277.298,40.322,0.0,173.56599999999997,53.343999999999994,3179.647,0.0,0.0,5.128,
21,2014-04-16,2,7.0,0.0,1.0,0.19809923260395698,7032.783002853394,3.0,2.0,2876.718,2180.453,990.051,0.0,0.0,0.0,62.984,1828.739,129.132,0.0,0.0,
22,2014-04-17,3,6.8,-0.6,0.8,0.13106163600075882,7747.718999624252,2.0,0.0,1108.736,1762.53,434.02,49.768,0.0,125.091,49.81,3914.188,262.063,0.0,5.022,
23,2014-04-18,4,6.6,-0.6,0.8,0.07997912314877687,5904.472999334335,0.0,0.0,796.857,315.754,768.6219999999998,9.264,0.0,0.0,54.297999999999995,3149.413,476.158,0.0,4.026,
24,2014-04-19,5,5.8,0.4,0.4,0.16716522568030537,7279.017001152037,4.0,2.0,32945.276,1422.102,862.0149999999999,0.0,0.0,0.0,59.983000000000004,2462.619,93.026,0.0,0.0,
25,2014-04-20,6,6.4,0.4,1.0,0.22026726549487374,15072.072999715814,0.0,0.0,3891.594,744.578,1323.4270000000001,0.0,550.414,82.47,51.321,4599.367000000001,430.585,0.0,7.1419999999999995,
26,2014-04-21,0,6.0,-0.25,0.75,0.0702309086923999,4222.318999528884,1.0,0.0,1243.055,1039.461,110.981,0.0,61.195,0.0,45.51,1880.291,83.25099999999999,0.0,3.038,
27,2014-04-22,1,6.5,0.25,1.0,0.16462706487320147,18346.558000326168,2.0,0.0,2517.718,3176.774,5768.909000000001,35.153000000000006,0.0,0.0,58.138999999999996,5208.823,1367.324,0.0,4.156,
28,2014-04-23,2,5.8,0.0,0.8,0.11449388733473975,5621.264999151228,6.0,0.0,1266.9850000000001,546.161,626.889,0.0,0.0,44.187,39.926,3131.5319999999997,256.502,0.0,0.0,
29,2014-04-24,3,6.6,-0.6,0.6,0.08522280013775357,6934.605998277665,1.0,0.0,3131.05,289.282,745.889,109.32899999999998,0.0,164.13799999999998,41.343999999999994,3729.0739999999996,659.855,0.0,0.0,
30,2014-04-25,4,5.6,0.2,0.2,0.13467870198927026,4744.062000751496,3.0,1.0,2088.08,511.947,97.38900000000001,78.27000000000001,0.0,0.0,46.248,1831.1259999999997,782.1739999999999,0.0,36.423,
31,2014-04-26,5,7.0,0.25,1.0,0.3325771057511279,3425.8209993839237,6.0,0.0,979.5780000000001,293.235,337.142,0.0,0.0,0.0,42.465,1013.5759999999999,761.637,0.0,0.0,
32,2014-04-27,6,6.0,0.0,0.75,0.19347949106485993,5069.173999309538,1.0,0.0,759.456,295.28999999999996,624.5050000000002,0.0,0.0,15.093,67.653,1675.0120000000002,1366.399,0.0,0.0,
33,2014-04-28,0,6.6,-0.6,1.0,0.08539768743220888,3979.2940003871927,2.0,8.0,1955.5389999999998,740.361,378.06100000000004,63.189,0.0,0.0,44.43899999999999,1723.733,128.399,0.0,0.0,
34,2014-04-29,1,6.0,-0.4,1.0,0.07919763729171321,6085.489000082016,4.0,0.0,2113.077,863.179,359.93899999999996,0.0,0.0,171.43,48.704,3697.746,0.0,0.0,0.0,
35,2014-04-30,2,6.25,-0.25,0.6666666666666666,0.12199319253000575,6141.152999639511,2.0,0.0,1681.2479999999998,1570.289,1044.383,0.0,0.0,36.22,36.543,2048.4139999999998,476.321,0.0,4.11,
36,2014-05-01,3,6.2,-0.2,0.5,0.0955700386338233,10759.314000368111,0.0,2.0,1453.762,2178.9899999999993,956.8370000000001,434.079,181.611,71.407,60.43999999999999,3774.0020000000004,284.95399999999995,0.0,5.048,
37,2014-05-02,4,5.5,0.0,0.5,0.1309995432502886,17130.235999345776,1.0,0.0,2623.1130000000003,2517.301,2755.815,249.135,0.0,37.361999999999995,45.013000000000005,5042.722,245.935,0.0,4.063,
38,2014-05-03,5,5.6,-0.4,0.2,0.085140097498809,5445.758001565933,1.0,1.0,2817.434,961.563,474.13500000000005,52.151,0.0,70.349,47.693,2205.7499999999995,1.026,0.0,22.674,
39,2014-05-04,6,4.8,-0.8,-0.2,0.11459872269952805,7504.151001453398,0.0,0.0,3155.584,356.15700000000004,1252.722,0.0,0.0,0.0,44.190999999999995,4638.61,0.0,0.0,0.0,
40,2014-05-05,0,6.0,0.0,0.3333333333333333,0.032041855203619865,2281.6200006008153,2.0,0.0,1344.748,1019.5729999999999,135.69299999999998,0.0,0.0,0.0,24.093999999999998,517.579,0.0,0.0,0.0,
