,date,weekday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities
32,2014-04-06,6,7.6,0.0,1.25,0.007280235288804587,1296.008000373841,0.0,0.0,69.105,331.962,11.032,0.0,34.396,532.817,0.0,0.0,
33,2014-04-07,0,7.0,0.0,1.0,0.1024731337951504,4442.053998470306,1.0,6.0,365.50199999999995,2379.268,368.396,0.0,69.48,1248.4860000000003,0.0,7.028,
34,2014-04-08,1,6.5,-0.25,0.5,0.05814829222796919,2564.4870009422293,0.0,0.0,67.864,1572.274,93.167,0.0,56.654,1078.93,0.0,0.0,
35,2014-04-09,2,6.25,0.25,0.5,0.040366265965439525,2404.400000333786,0.0,0.0,112.664,1770.142,0.0,0.0,3613.761,1990.761,0.0,0.0,
36,2014-04-10,3,7.6,1.2,1.4,0.20657326274273782,4360.754999876022,0.0,0.0,90.306,3161.743,230.726,0.0,82.531,877.273,0.0,0.0,
37,2014-04-11,4,7.6,0.6,1.0,0.07413554916192039,1581.9210007190707,1.0,0.0,51.944,452.74799999999993,32.147,0.0,48.116,990.3209999999998,0.0,0.0,
38,2014-04-12,5,7.0,0.0,0.8,0.025027439155129106,767.0680000782012,0.0,0.0,0.0,1912.357,0.0,0.0,108.72399999999999,519.463,0.0,0.0,
39,2014-04-13,6,7.6,0.0,1.2,0.0048270957916190715,2078.9600002765656,0.0,0.0,8.147,658.403,221.56300000000002,0.0,119.435,2874.2200000000003,0.0,0.0,
40,2014-04-14,0,6.6,0.2,0.6,0.06490308655585146,3426.076000928881,0.0,0.0,89.01599999999999,1931.73,81.273,45.241,122.035,1121.678,0.0,0.0,
41,2014-04-15,1,6.4,-0.8,0.6,0.03409090909090909,3149.4779992103604,0.0,0.0,313.846,2067.439,36.189,0.0,54.181,711.717,0.0,0.0,
42,2014-04-16,2,6.6,-0.6,0.8,0.06859735641438541,1724.2629995346065,0.0,0.0,122.28200000000001,853.409,22.458000000000002,48.299,45.32899999999999,595.5500000000001,0.0,0.0,
43,2014-04-17,3,6.2,-1.0,0.8,0.09718156742586877,3259.406999349593,0.0,0.0,111.43100000000001,1016.883,144.717,0.0,188.899,676.2249999999999,1114.867,0.0,
44,2014-04-18,4,6.0,-0.4,0.6,0.049041986144740375,936.6079995632169,0.0,0.0,8.937,178.033,0.0,0.0,67.792,678.915,0.0,0.0,
45,2014-04-19,5,7.8,1.4,1.2,0.03900289438614025,2355.328998804096,0.0,0.0,324.362,840.206,88.565,0.0,46.933,1092.221,0.0,22.302,
46,2014-04-20,6,6.4,-1.2,0.8,0.004899344795389425,1317.5869996547704,0.0,0.0,2291.8390000000004,85.04199999999999,173.542,0.0,36.373000000000005,5884.73,0.0,17.156,
47,2014-04-21,0,6.4,-1.0,0.6,0.029294959666751913,2076.093999624253,0.0,0.0,90.122,600.2099999999999,437.264,5.032,31.308,905.6440000000001,0.0,0.0,
48,2014-04-22,1,6.0,-0.6,0.4,0.07739994303879248,1819.2249996662135,0.0,0.0,109.49199999999999,795.3119999999999,21.094,0.0,46.998,843.2529999999999,0.0,0.0,
49,2014-04-23,2,5.6,0.0,0.4,0.12497602724903793,1554.5250003337856,0.0,0.0,153.90400000000002,1044.884,0.0,0.0,51.104,435.924,0.0,0.0,
50,2014-04-24,3,6.666666666666667,0.3333333333333333,1.0,0.1280059119507768,1965.2279994487767,0.0,0.0,26.485999999999997,1270.6670000000001,82.896,0.0,547.374,554.572,0.0,0.0,
51,2014-04-25,4,6.333333333333333,0.0,0.8,0.028321012544802848,2004.8570005893716,0.0,0.0,92.297,10351.418000000001,0.0,163.344,51.705,812.872,0.0,0.0,
52,2014-04-26,5,6.0,-0.5,0.25,0.047178819444444485,702.6440005302428,0.0,0.0,276.46,156.572,0.0,0.0,29.159,237.624,0.0,0.0,
53,2014-04-27,6,6.0,-0.8333333333333334,0.6666666666666666,0.005429837164750958,2228.388000011444,0.0,3.0,100.223,704.723,835.74,0.0,34.178000000000004,700.6910000000001,0.0,0.0,
54,2014-04-28,0,5.8,-0.8,0.6,0.02225241545893721,864.7580003738399,0.0,0.0,127.95500000000001,122.74300000000001,109.162,0.0,45.431,461.77599999999995,0.0,0.0,
55,2014-04-29,1,5.75,-0.25,0.25,0.030996148459383758,2025.4379999637604,0.0,0.0,21.515,1157.159,111.408,0.0,39.375,694.2059999999999,0.0,0.0,
56,2014-04-30,2,6.666666666666667,-0.5,1.0,0.03482503992976501,3999.000998735421,0.0,0.0,38.781,3192.407,202.554,0.0,38.314,523.0989999999999,0.0,0.0,
57,2014-05-01,3,7.0,0.4,0.8,0.03731409855296445,5458.796000480648,0.0,0.0,96.708,9933.223000000002,3751.748,0.0,57.046,442.89700000000005,0.0,0.0,
58,2014-05-02,4,7.2,-0.4,1.0,0.1817380077030812,703.1720004081726,0.0,0.0,29.822,157.96099999999998,29.418,0.0,45.739999999999995,436.494,0.0,0.0,
59,2014-05-03,5,7.4,0.4,1.0,0.22181372986475953,883.2579998970027,0.0,0.0,86.962,1322.47,0.0,0.0,36.627,437.16499999999996,0.0,6.071,
60,2014-05-04,6,6.8,-0.2,1.0,0.04327761276924563,1968.681000471115,1.0,0.0,162.032,780.0079999999999,0.0,0.0,34.334,681.4110000000001,0.0,311.75699999999995,
61,2014-05-05,0,6.666666666666667,-1.0,1.0,0.0026041666666666687,263.81499981880165,0.0,0.0,0.0,36.583999999999996,0.0,0.0,22.215,204.48199999999997,0.0,0.0,
