,date,weekday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities
16,2014-04-05,5,7.0,0.4,0.8,0.09056023599628252,807.5760002136229,2.0,0.0,108.75399999999999,94.52100000000002,27.475,0.0,422.587,153.89600000000002,0.0,0.0,0.0,
17,2014-04-06,6,7.0,0.6,0.8,0.06022714082246478,3924.269999504089,3.0,1.0,231.01799999999994,852.777,14.083,0.0,418.192,0.0,437.39,0.0,0.0,
18,2014-04-07,0,6.8,0.6,1.0,0.029011707988980725,290.2020001411439,0.0,1.0,73.93500000000002,882.9119999999999,77.365,0.0,530.69,0.0,574.76,0.0,0.0,
19,2014-04-08,1,7.25,0.5,0.75,0.003367003367003367,601.9649999141694,0.0,2.0,66.22399999999999,0.0,0.0,0.0,531.717,0.0,4.024,0.0,0.0,
20,2014-04-09,2,7.75,0.25,1.0,0.069361289395536,1532.6959998607635,0.0,4.0,241.88299999999998,263.23,248.851,0.0,0.0,44.223,1007.6129999999999,0.0,0.0,
21,2014-04-10,3,7.0,0.5,0.5,0.02183641975308642,1213.406999826432,0.0,1.0,86.771,661.8989999999999,123.988,0.0,0.0,10.035,330.513,0.0,0.0,
22,2014-04-11,4,7.5,0.5,0.75,0.05509259259259256,169.1849999427795,2.0,0.0,55.402,72.345,0.0,0.0,0.0,41.273,0.0,0.0,0.0,
23,2014-04-12,5,6.8,0.0,0.6,0.04598055910316445,3952.1050000190753,6.0,1.0,326.646,2408.115,0.0,49.692,404.376,81.62899999999999,105.212,0.0,0.0,
24,2014-04-13,6,6.8,0.0,0.6,0.0,5.01699995994568,0.0,0.0,12.451,0.0,0.0,0.0,569.675,0.0,0.0,0.0,0.0,
25,2014-04-14,0,6.8,0.0,0.2,0.005,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
26,2014-04-15,1,6.8,0.0,0.6,0.10694444444444444,699.731999874115,0.0,0.0,104.23400000000001,421.382,24.137,0.0,0.0,14.144,135.541,0.0,0.0,
27,2014-04-16,2,7.2,0.4,0.6,0.004629629629629634,11.29800009727478,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.276,0.0,0.0,0.0,
28,2014-04-17,3,6.4,-0.4,0.4,0.014580010632642209,1704.4969999790194,0.0,1.0,306.67100000000005,476.179,65.554,0.0,496.895,0.0,319.817,0.0,39.18,
29,2014-04-18,4,6.75,0.0,0.5,0.006430041152263367,93.54699969291684,0.0,0.0,78.833,0.0,0.0,0.0,0.0,0.0,14.633,0.0,0.0,
30,2014-04-19,5,7.5,0.0,1.0,0.0362707535121329,2848.953001022339,0.0,0.0,73.705,2344.307,0.0,0.0,196.45,0.0,35.379,0.0,3.01,
31,2014-04-20,6,7.6,-0.4,0.6,0.17375,758.62700009346,1.0,0.0,308.396,282.616,0.0,0.0,0.0,185.428,13.352999999999998,0.0,0.0,
32,2014-04-21,0,7.4,0.2,0.8,0.06042250233426701,719.6380009651184,0.0,1.0,168.567,341.427,14.783,0.0,0.0,14.048,1074.2610000000002,0.0,0.0,
33,2014-04-22,1,6.4,0.0,0.0,,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
