,date,weekday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,mood_std,circumplex.arousal_std,circumplex.valence_std,activity_std
0,2014-03-13,3,7.0,-2.0,1.0,,1252.236999988556,1.0,0.0,64.527,513.395,73.508,0.0,0.0,0.0,467.23600000000005,174.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,2014-03-14,4,7.8,0.2,1.4,,7292.196001768112,0.0,3.0,1799.3709999999999,4896.720000000001,100.104,0.0,0.0,0.0,1211.863,938.9980000000002,2862.4149999999995,0.0,0.0,0.0,0.0,0.0,0.0,
2,2014-03-15,5,7.0,0.2,0.4,,4634.640998601915,0.0,3.0,2043.0579999999998,3284.4959999999996,671.05,0.0,0.0,0.0,1157.275,565.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3,2014-03-16,6,6.4,-1.0,0.2,,4920.903999090193,0.0,0.0,128.676,649.433,37.964,0.0,0.0,0.0,2366.203,571.198,0.0,141.978,0.0,0.0,0.0,0.0,0.0,
4,2014-03-17,0,6.6,0.0,0.8,,3146.8159987926483,0.0,0.0,1027.1299999999999,1015.1310000000001,0.0,0.0,0.0,0.0,701.4730000000002,426.51000000000005,236.14800000000002,0.0,12.518,0.0,0.0,0.0,0.0,
5,2014-03-18,1,7.0,-0.2,0.8,,2748.7139985561375,0.0,0.0,556.4499999999999,5882.241,2464.328,0.0,0.0,0.0,981.155,416.742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,2014-03-19,2,7.8,-0.2,1.2,,15164.403999090207,0.0,0.0,790.38,9544.346000000001,1074.9009999999998,0.0,0.0,0.0,4203.599,294.512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7,2014-03-20,3,6.4,0.8,0.2,0.2875173962358836,8615.40499901772,0.0,0.0,462.36800000000005,7656.217,670.754,0.0,0.0,0.0,626.924,497.604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2431313246967004
8,2014-03-21,4,6.4,0.6,0.6,0.08464871219157337,12928.499998092655,0.0,2.0,144.12599999999998,14123.689999999999,1224.32,0.0,0.0,0.0,109.86300000000001,162.789,47.006,0.0,0.0,0.0,0.0,0.0,0.0,0.08847236988050204
9,2014-03-22,5,8.4,1.4,1.6,0.09397349961866085,12328.15699982643,0.0,0.0,925.617,8514.374,2283.683,0.0,0.0,0.0,355.851,654.827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09306484254925297
10,2014-03-23,6,7.4,1.6,1.0,0.11916263386851622,6527.276000261305,0.0,2.0,387.58099999999996,5841.737999999999,631.9680000000001,0.0,0.0,0.0,316.93399999999997,249.13300000000004,0.0,19.359,0.0,0.0,0.0,0.0,0.0,0.2157045820646731
11,2014-03-24,0,8.8,1.0,1.8,0.3074129857071034,4688.187000513077,2.0,0.0,341.122,3140.384,944.2940000000001,0.0,0.0,0.0,97.92,186.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2910843316024463
12,2014-03-25,1,7.6,1.2,1.8,0.09856848536516054,5026.9479994773865,0.0,0.0,118.19600000000001,4322.161,208.49699999999999,0.0,0.0,0.0,1139.661,381.363,550.99,0.0,25.496,0.0,0.0,0.0,0.0,0.11944028508340206
13,2014-03-26,2,8.4,-1.0,1.0,0.303655124259914,9064.927999734879,1.0,1.0,430.692,7317.156,807.299,0.0,0.0,0.0,265.619,244.40900000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34940120674146313
14,2014-03-27,3,7.4,-1.2,1.0,0.10809412957208692,8565.003998994824,0.0,1.0,17.725,7266.264999999999,733.764,0.0,0.0,0.0,524.985,352.81600000000003,289.617,0.0,0.0,0.0,0.0,0.0,0.0,0.13690449562758114
15,2014-03-28,4,7.6,-1.0,1.2,0.3355837397178655,12150.351999759674,0.0,0.0,1688.574,5064.351000000001,1870.3230000000003,0.0,0.0,33.368,180.59199999999998,2989.3139999999994,263.015,0.0,0.0,0.0,0.0,0.0,0.0,0.30191641353038207
16,2014-03-29,5,7.2,-1.8,1.0,0.37008537798408486,5617.916001319886,0.0,0.0,200.035,5104.884,713.427,0.0,0.0,0.0,117.57400000000001,650.089,0.0,0.0,43.997,0.0,0.0,0.0,0.0,0.3332377332307023
17,2014-03-30,6,6.2,-0.6,0.8,0.1106315203947191,9519.96399950981,0.0,0.0,27.302,7303.315,431.246,0.0,0.0,0.0,1504.9980000000003,94.91499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12048225256512736
18,2014-03-31,0,7.0,-1.2,0.6,0.2922268907563024,5456.011997938156,1.0,0.0,543.1610000000001,2715.429,1138.739,0.0,0.0,0.0,74.55,726.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3499526287255377
19,2014-04-01,1,7.5,-1.5,1.0,0.43874834656084644,7494.29600048065,3.0,3.0,3216.021,4242.905999999999,706.467,0.0,0.0,0.0,136.147,4124.664,0.0,13.518999999999998,0.0,0.0,0.0,0.0,0.0,0.4078028901109928
20,2014-04-02,2,7.4,-1.2,1.0,0.37120794503799426,9194.638997077942,0.0,0.0,390.476,20718.749,579.5100000000001,0.0,0.0,0.0,100.02000000000001,830.5859999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2896554841424052
21,2014-04-03,3,7.6,-0.8,1.4,0.30396614520281895,11380.301999330519,3.0,7.0,1548.3,12564.073,368.455,0.0,0.0,0.0,132.127,35.561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3619329810990221
22,2014-04-04,4,7.8,-0.6,1.0,0.19674225941227172,8050.796003341672,0.0,3.0,918.5979999999998,7126.404999999999,680.9830000000001,0.0,0.0,0.0,201.698,398.0680000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.311839239655451
23,2014-04-05,5,6.8,0.2,0.8,0.15646127217935726,12458.326999664303,0.0,0.0,91.818,11836.062000000002,549.493,0.0,0.0,0.0,237.982,82.548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14816012680378277
24,2014-04-06,6,6.25,0.25,0.75,0.32032102320237915,8325.587998628615,0.0,0.0,1421.958,6148.126,346.799,0.0,0.0,0.0,115.575,526.263,283.402,211.24699999999999,0.0,0.0,0.0,0.0,0.0,0.30051130104859436
25,2014-04-07,0,7.4,-0.4,1.0,0.30800465676571875,10618.18199920655,1.0,1.0,254.95499999999998,12359.838,206.15200000000002,0.0,0.0,0.0,1502.867,916.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2836385795315607
26,2014-04-08,1,8.2,0.8,1.4,0.12433551478229142,10384.884002208708,2.0,0.0,1052.325,7986.181,985.211,0.0,0.0,0.0,129.537,158.30200000000002,0.0,0.0,24.576,0.0,0.0,0.0,0.0,0.212041090916512
27,2014-04-09,2,7.8,-0.2,1.2,0.19026514823987342,14230.147996902464,4.0,0.0,1151.705,11542.971000000001,238.654,0.0,0.0,0.0,874.868,209.894,0.0,0.0,316.434,0.0,0.0,0.0,0.0,0.26008639800863725
28,2014-04-10,3,7.6,0.6,1.0,0.3092114046758541,8855.4799990654,1.0,0.0,285.24699999999996,8405.130000000001,0.0,0.0,0.0,15.069,212.21000000000004,102.72999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.367059247047779
