,date,weekday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities
18,2014-04-01,1,7.2,0.6,1.0,0.2718253968253967,769.8550000190736,1.0,4.0,288.358,734.8209999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19,2014-04-02,2,7.2,0.8,1.0,0.18948412698412717,1661.306999921798,7.0,1.0,312.29699999999997,1317.5410000000002,0.0,0.0,9.064,8.031,14.121,0.0,0.0,
20,2014-04-03,3,7.2,0.6,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21,2014-04-04,4,7.2,0.6,1.0,0.1633802430677431,740.1330001354224,2.0,0.0,513.205,339.687,0.0,0.0,0.0,0.0,236.197,0.0,0.0,
22,2014-04-05,5,7.8,1.0,1.0,0.1381578947368421,25.41400027275089,4.0,0.0,25.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
23,2014-04-06,6,6.2,-0.2,0.0,0.00657894736842105,423.74600005149745,5.0,1.0,225.358,198.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
24,2014-04-07,0,6.8,0.4,0.4,0.1067583732057415,517.5099999904628,4.0,1.0,48.502,450.682,0.0,0.0,0.0,18.198,0.0,0.0,0.0,
25,2014-04-08,1,6.8,0.2,0.6,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
26,2014-04-09,2,7.0,0.0,1.0,0.0087719298245614,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
27,2014-04-10,3,7.2,0.4,1.0,0.00789473684210526,648.2670001983639,1.0,0.0,222.572,486.12800000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
28,2014-04-11,4,7.0,0.4,0.8,0.0357142857142857,794.9789998531344,1.0,0.0,314.46,41.451,0.0,0.0,0.0,11.077,427.776,0.0,0.0,
29,2014-04-12,5,7.4,1.0,1.0,0.09709821428571426,2164.692999601364,5.0,1.0,582.4549999999999,1167.57,414.577,0.0,0.0,0.0,0.0,0.0,0.0,
30,2014-04-13,6,7.0,2.0,1.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
31,2014-04-14,0,7.0,1.0,1.0,0.08487654320987655,2896.202000141143,1.0,0.0,561.0550000000001,1987.1840000000002,0.0,0.0,158.01099999999997,6.016,109.23100000000001,194.88,0.0,
32,2014-04-15,1,7.0,-0.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
33,2014-04-16,2,7.0,0.2,1.0,0.12390046296296292,2811.401999473572,0.0,0.0,1388.6549999999997,1761.2459999999996,0.0,0.0,0.0,37.276,0.0,0.0,23.129,
34,2014-04-17,3,6.4,0.0,0.0,0.09114583333333325,2339.6539998054495,2.0,0.0,1147.198,1445.728,0.0,0.0,10.038,113.65,63.36,0.0,0.0,
35,2014-04-18,4,6.0,-0.4,0.0,0.2605137395459973,1424.8489995002747,0.0,0.0,256.5,363.985,364.104,0.0,326.21000000000004,10.049,0.0,103.633,0.0,
