,date,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
8,2014-03-29,8.0,-0.4,1.0,0.08229166666666667,7516.97699904442,5.0,0.0,454.912,3478.2230000000004,3166.781,0.0,0.0,0.0,63.888999999999996,188.847,157.702,0.0,3.242,
9,2014-03-30,7.75,-1.0,1.0,0.11195652173913047,8669.2909989357,2.0,1.0,1384.013,3493.521,3177.558,21.601,0.0,0.0,41.815000000000005,491.89300000000003,0.0,0.0,4.061,
10,2014-03-31,7.0,-0.2,0.2,0.08333333333333336,6808.904999494553,3.0,0.0,623.375,3363.6079999999997,2077.0019999999995,97.282,0.0,4.1,49.509,10.145,576.3829999999999,0.0,4.042999999999999,
11,2014-04-01,7.6,0.0,0.6,0.07986111111111115,12936.086001157757,5.0,0.0,2289.1390000000006,5259.525000000001,4216.561,123.632,0.0,0.0,64.097,107.098,137.18,729.504,5.071000000000001,
12,2014-04-02,6.2,0.2,0.0,0.041386554621848724,3616.1849999427823,2.0,0.0,1302.409,698.0930000000001,1408.9720000000002,0.0,0.0,0.0,78.42599999999999,33.83,0.0,0.0,59.26199999999999,
13,2014-04-03,7.6,0.0,0.6,0.18090277777777775,6119.871999502182,3.0,0.0,588.224,2006.6190000000001,1529.534,97.28999999999999,0.0,4.04,90.741,209.625,1508.7709999999997,80.247,0.0,
14,2014-04-04,7.25,-0.75,0.75,0.07604166666666665,6912.645999670029,3.0,1.0,276.152,3102.5339999999997,2802.714,47.772000000000006,175.019,0.0,61.001,166.319,275.002,0.0,3.0869999999999997,
15,2014-04-05,7.5,0.0,0.75,0.11562500000000002,5465.0930008888245,0.0,0.0,53.050999999999995,3022.0789999999997,2117.3230000000003,0.0,80.992,1.012,76.697,109.2,0.0,0.0,1.007,
16,2014-04-06,6.8,-0.4,0.8,0.13888888888888887,7160.648002386095,0.0,0.0,269.692,2888.5720000000006,3578.5989999999997,51.71,0.0,4.025,52.748999999999995,260.428,0.0,4.098,22.322,
17,2014-04-07,6.2,-0.5,0.0,0.07812500000000004,5353.679001808166,0.0,0.0,174.613,2635.4200000000005,1657.547,76.338,0.0,3.043,63.722,301.159,348.162,0.0,0.0,
18,2014-04-08,7.2,0.0,0.6,0.08645833333333332,4055.727000236513,0.0,1.0,219.268,1722.9769999999999,17314.980999999996,160.191,0.0,1.032,65.994,34.370999999999995,389.942,0.0,0.0,
19,2014-04-09,6.5,0.25,0.25,0.034126984126984145,4303.1010003089905,3.0,0.0,455.0059999999999,1715.135,2041.4039999999995,23.372,0.0,0.0,29.333999999999996,28.382,26.014,0.0,0.0,
20,2014-04-10,6.0,0.75,0.0,0.03035714285714286,2158.587001562118,1.0,0.0,116.389,826.867,921.554,0.0,0.0,0.0,19.387,196.271,0.0,77.658,2.019,
21,2014-04-11,6.8,0.0,0.6,0.1142857142857143,5562.076999187466,0.0,0.0,2.008,765.3009999999998,690.963,23.749,0.0,0.0,19.296,0.0,598.908,153.307,0.0,
22,2014-04-12,7.0,0.0,0.8,0.06944444444444443,2841.563000202179,2.0,0.0,0.0,1664.717,1146.349,0.0,0.0,0.0,52.751999999999995,0.0,0.0,0.0,59.098000000000006,
23,2014-04-13,6.0,-0.8,0.0,0.1722222222222222,1216.8459997177122,0.0,1.0,12.187,503.45700000000005,273.882,0.0,0.0,0.0,15.208,0.0,411.041,0.0,1.008,
24,2014-04-14,5.8,-0.2,-0.2,0.08333333333333319,823.1890001296997,1.0,1.0,75.483,186.68600000000004,482.67,0.0,0.0,5.029,25.479,0.0,77.72,0.0,0.0,
25,2014-04-15,6.0,0.0,0.0,0.08854166666666669,1799.896999597549,1.0,1.0,120.66499999999999,595.632,1042.797,148.776,0.0,0.0,11.277000000000001,0.0,0.0,0.0,0.0,
26,2014-04-16,5.5,-0.5,-0.25,0.015584415584415586,588.7820003032684,0.0,0.0,10.120999999999999,262.839,419.4920000000001,0.0,0.0,0.0,29.612,0.0,0.0,0.0,0.0,
