,date,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
19,2014-04-01,5.8,-0.4,0.6,0.3134394341290891,1473.5539999008206,0.0,1.0,98.198,194.89,0.0,0.0,0.0,0.0,48.338,40.949,0.0,0.0,
20,2014-04-02,6.4,-0.2,1.0,0.030474211305752518,8644.528000116352,4.0,0.0,29.768,105.76100000000001,0.0,0.0,0.0,0.0,0.725,0.0,0.0,0.0,
21,2014-04-03,6.25,-0.5,0.3333333333333333,0.012361111111111111,138.8190000057221,0.0,0.0,41.036,289.19,1.014,0.0,0.0,17.155,41.357,0.0,0.0,0.0,
22,2014-04-04,6.2,-0.2,0.8,0.1440706034463033,4939.440000295641,4.0,4.0,678.477,1680.0349999999996,2216.219,20.066,0.0,27.086,301.87800000000004,9.888,0.0,0.0,
23,2014-04-05,7.0,0.0,1.0,0.08748917748917752,202.36500000953663,1.0,0.0,99.01,239.666,142.025,0.0,0.0,15.072,20.102,0.0,0.0,0.0,
24,2014-04-06,6.75,-0.6666666666666666,1.0,0.19987749808992267,1605.8439996242516,0.0,0.0,423.21299999999997,505.307,144.716,0.0,0.0,8.062,123.86800000000001,0.0,0.0,19.138,
25,2014-04-07,7.0,-0.2,1.0,0.0864168979340117,2214.007000207897,0.0,1.0,221.99999999999997,408.01500000000004,51.298,45.278999999999996,0.0,0.0,119.977,0.0,0.0,0.0,
26,2014-04-08,6.4,0.5,0.6666666666666666,0.03989680082559341,7.27500009536743,8.0,1.0,9.241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
27,2014-04-09,7.2,-0.5,1.0,0.24015661939870084,3191.621999979022,1.0,0.0,67.282,9.097,0.0,11.053,0.0,0.0,0.0,0.0,0.0,0.0,
28,2014-04-10,6.6,0.2,1.0,0.12938863827162783,1089.7160003185274,3.0,1.0,156.923,331.167,113.05199999999999,87.698,162.983,15.132,222.35500000000002,0.0,0.0,0.0,
29,2014-04-11,7.0,1.0,1.0,0.03957364341085266,358.88299965858437,0.0,0.0,99.94,421.32800000000003,0.0,0.0,0.0,5.014,109.692,0.0,0.0,0.0,
30,2014-04-12,7.0,1.25,1.0,0.0,19.430999994278,4.0,0.0,19.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
31,2014-04-13,6.4,0.0,0.5,0.0454545454545455,112.32100009918217,1.0,2.0,56.88699999999999,3.01,0.0,0.0,0.0,6.052,46.323,0.0,0.0,0.0,
32,2014-04-14,7.0,0.8,1.0,0.0341435185185185,202.43700027465812,4.0,0.0,171.96099999999998,81.969,0.0,0.0,0.0,0.0,5.708,0.0,0.0,0.0,
