,time,weekday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,sleep
25,2014-04-20 16:00:00,6,8.0,1.0,1.0,0.191666666666667,561.3359999656674,1.0,0.0,153.04600000000002,323.797,0.0,0.0,0.0,0.0,12.226,72.241,0.0,0.0,0.0,,12.0
26,2014-04-20 18:00:00,6,8.0,1.0,1.0,0.0,87.4930002689361,0.0,0.0,63.336,16.073999999999998,0.0,0.0,0.0,0.0,8.162,0.0,0.0,0.0,0.0,,12.0
27,2014-04-20 21:00:00,6,8.0,1.0,1.0,0.4,724.6720004081728,0.0,0.0,75.642,641.718,0.0,0.0,0.0,0.0,7.037,0.0,0.0,0.0,0.0,,12.0
28,2014-04-21 12:00:00,0,9.0,2.0,1.0,0.741666666666667,1359.6329996585846,0.0,0.0,187.005,1006.193,0.0,0.0,0.0,0.0,9.174,151.60399999999998,0.0,5.367,0.0,,8.158110277777778
29,2014-04-21 17:00:00,0,7.0,-1.0,1.0,0.0,1774.1019995212569,0.0,0.0,97.78200000000001,566.6210000000001,0.0,0.0,0.0,0.0,8.028,1075.025,0.0,26.337,0.0,,8.158110277777778
30,2014-04-21 19:00:00,0,7.0,1.0,1.0,0.0,630.9200000762937,0.0,0.0,81.952,212.929,0.0,0.0,0.0,0.0,8.293,0.0,0.0,14.119,34.231,,8.158110277777778
31,2014-04-21 21:00:00,0,8.0,1.0,1.0,0.0,259.359000205994,0.0,0.0,25.18,225.962,0.0,0.0,0.0,0.0,8.118,0.0,0.0,0.0,0.0,,8.158110277777778
32,2014-04-22 08:00:00,1,8.0,1.0,1.0,0.0,691.7909998893743,0.0,0.0,181.183,500.174,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,3.0090000000000003,,11.309928611111111
33,2014-04-22 12:00:00,1,8.0,-1.0,1.0,0.158333333333333,1628.5440001487736,0.0,1.0,332.947,1204.339,67.083,0.0,0.0,0.0,9.064,0.0,0.0,0.0,0.0,,11.309928611111111
34,2014-04-22 15:00:00,1,7.0,1.0,1.0,0.0086206896551724,662.2019999027251,1.0,0.0,170.142,265.145,11.033,0.0,0.0,0.0,7.024,218.214,0.0,0.0,5.084,,11.309928611111111
