,date,weekday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,mood_std,circumplex.arousal_std,circumplex.valence_std,activity_std
0,2014-04-02,2,6.666666666666667,0.0,0.6666666666666666,0.23481701750490602,13322.02599930763,1.0,0.0,1483.2839999999999,1084.376,166.22,58.169,0.0,0.0,87.49800000000002,289.00300000000004,0.0,0.0,142.03699999999998,0.0,0.0,0.0,0.0,0.2787579575542723
1,2014-04-03,3,6.6,0.6,1.0,0.19950165661345784,13373.792999744415,3.0,0.0,504.72999999999996,886.3,126.547,19.074,0.0,0.0,161.8,76.273,0.0,0.0,60.230000000000004,0.0,0.0,0.0,0.0,0.21697244410632088
2,2014-04-04,4,6.8,0.4,0.4,0.13380405046845267,2560.0580003261543,2.0,0.0,595.415,133.87900000000002,176.81,0.0,0.0,0.0,9.051,213.823,0.0,0.0,208.449,0.0,0.0,0.0,0.0,0.2198992890122547
3,2014-04-05,5,7.4,0.8,0.6,0.24320235873090723,5775.230000257488,5.0,0.0,1474.7090000000003,712.1569999999999,211.67799999999997,2.034,0.0,331.018,135.78300000000002,0.0,51.254000000000005,0.0,124.52000000000001,0.0,0.0,0.0,0.0,0.2652193362732731
4,2014-04-06,6,6.6,0.0,0.2,0.16746382304680316,7647.479999542234,1.0,1.0,1924.4170000000001,842.527,145.75900000000001,54.044999999999995,0.0,0.0,46.382999999999996,17.041,0.0,0.0,40.253,0.0,0.0,0.0,0.0,0.1816186966292096
5,2014-04-07,0,6.6,0.2,0.2,0.14697043087965841,5538.424000501636,1.0,2.0,880.184,834.1930000000001,44.18899999999999,36.157,0.0,0.0,11.035,60.230000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18603991832701391
6,2014-04-08,1,7.0,0.6,0.6,0.1430965546015584,3232.706998825074,1.0,0.0,1419.4960000000003,936.97,287.216,64.352,0.0,24.468,253.561,308.82599999999996,0.0,0.0,117.86999999999999,0.0,0.0,0.0,0.0,0.14889524389141812
7,2014-04-09,2,7.0,0.2,0.6,0.21966037814426126,3999.752999305725,1.0,0.0,1222.321,2335.382,237.66200000000003,27.095,0.0,12.306000000000001,71.124,229.701,0.0,0.0,63.329,0.0,0.0,0.0,0.0,0.2576932617283503
8,2014-04-10,3,7.2,0.4,0.6,0.20133600688258002,13377.150998592371,2.0,3.0,2224.876,4567.728,159.044,0.0,0.0,71.53399999999999,62.44,304.78299999999996,0.0,0.0,398.533,0.0,0.0,0.0,0.0,0.22076670505273915
9,2014-04-11,4,7.8,0.6,1.2,0.27244674173205335,13752.386998891827,10.0,2.0,6474.308000000001,5472.478999999999,161.51500000000001,158.53599999999997,0.0,191.393,87.55699999999999,321.426,0.0,0.0,946.1750000000001,0.0,0.0,0.0,0.0,0.23688252208130808
10,2014-04-12,5,7.0,0.6,0.8,0.22101963704498265,8203.07899999619,5.0,0.0,694.322,1512.6009999999999,0.0,32.255,0.0,22.069000000000003,9.031,21.097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2558122620710648
11,2014-04-13,6,6.8,-0.6,1.0,0.37450788707312216,8277.773000240324,5.0,1.0,1577.0870000000002,384.14599999999996,467.035,0.0,0.0,14.316,63.173,30.151,0.0,0.0,204.96300000000002,0.0,0.0,0.0,0.0,0.29482835677405117
12,2014-04-14,0,6.2,-0.8,0.0,0.12203956005680147,7150.95499920845,0.0,2.0,1634.5760000000002,1712.0120000000002,194.87800000000001,6.018,0.0,11.328,204.19,500.70199999999994,0.0,0.0,20.634,0.0,0.0,0.0,0.0,0.12421724898533784
13,2014-04-15,1,7.0,0.0,0.75,0.16270451908483252,2314.0849993228917,1.0,0.0,597.1240000000001,1143.354,29.955,49.322,0.0,0.0,16.063000000000002,0.0,0.0,0.0,157.271,0.0,0.0,0.0,0.0,0.22016179467040523
14,2014-04-16,2,6.75,0.0,0.5,0.156894295258828,4659.931999921799,3.0,0.0,1772.5919999999996,2176.3,98.313,156.839,0.0,83.49699999999999,208.362,44.205,0.0,0.0,143.472,0.0,0.0,0.0,0.0,0.15642178418251854
15,2014-04-17,3,7.0,0.6,1.0,0.1757913122641471,3586.985999107361,1.0,0.0,917.6109999999999,2026.286,277.921,69.21900000000001,0.0,17.055999999999997,71.537,77.111,0.0,0.0,129.08,0.0,0.0,0.0,0.0,0.14389574633633095
16,2014-04-18,4,6.8,0.2,0.8,0.083912037037037,10604.005999326711,4.0,0.0,19572.727000000006,3323.092,1969.019,0.0,0.0,0.0,139.95699999999997,225.166,0.0,0.0,8.041,0.0,0.0,0.0,0.0,0.16508301390690336
17,2014-04-19,5,7.8,0.8,1.2,0.4626559157521546,2350.144000530243,4.0,0.0,1036.541,1437.4109999999998,24.328,0.0,0.0,0.0,45.626000000000005,8.028,0.0,0.0,79.219,0.0,0.0,0.0,0.0,0.41076418256484065
18,2014-04-20,6,8.0,1.2,1.6,0.4026460998855776,5678.742000579836,0.0,0.0,2010.927,2951.178,117.873,0.0,0.0,90.50899999999999,54.423,146.04500000000002,142.96,0.0,248.96,0.0,0.0,0.0,0.0,0.38222518666741023
19,2014-04-21,0,6.4,0.2,0.4,0.12294231059851528,8969.245000600815,1.0,2.0,4602.268,2636.605,811.63,74.317,0.0,265.72799999999995,333.349,187.171,0.0,0.0,115.11900000000001,0.0,0.0,0.0,0.0,0.1676435896884501
20,2014-04-22,1,7.0,0.0,1.0,0.14306033075740893,9638.796999454502,0.0,4.0,1185.229,2350.2389999999996,279.47299999999996,0.0,0.0,8.108,337.997,335.54599999999994,0.0,0.0,1202.8870000000002,0.0,0.0,0.0,0.0,0.15290876509316026
21,2014-04-23,2,7.0,0.8,1.0,0.14131944444444447,6571.5590007305145,1.0,0.0,2247.9840000000004,3137.5020000000004,54.85,246.39000000000001,0.0,459.705,65.87899999999999,37.094,0.0,0.0,1055.7,0.0,0.0,0.0,0.0,0.1592077146908066
22,2014-04-24,3,6.5,0.25,0.75,0.14166666666666666,5700.513000249864,1.0,0.0,1442.6449999999998,3204.4539999999997,159.756,32.102,0.0,4.008,43.305,20.057,190.698,0.0,560.014,0.0,0.0,0.0,0.0,0.15788456616111676
23,2014-04-25,4,7.0,1.0,1.0,0.22801299283154122,7996.895000219345,11.0,0.0,4673.440999999999,3241.756,627.4469999999999,0.0,0.0,0.0,205.656,68.251,202.602,0.0,213.10499999999993,0.0,0.0,0.0,0.0,0.24665775984281166
24,2014-04-26,5,7.0,0.3333333333333333,1.0,0.48064681332303033,9394.792001485826,16.0,2.0,4263.612999999999,3626.216,56.575,85.333,0.0,4.0169999999999995,145.70200000000003,105.042,183.126,5.064,80.23199999999999,0.0,0.0,0.0,0.0,0.36848365212077416
25,2014-04-27,6,7.4,1.0,1.2,0.08819444444444446,4124.311999559405,2.0,0.0,1294.1599999999999,1523.4080000000001,488.436,0.0,0.0,26.223999999999997,231.69,254.141,0.0,0.0,533.1179999999999,0.0,0.0,0.0,0.0,0.14645399325968184
26,2014-04-28,0,6.8,0.8,0.8,0.12152777777777779,5360.359998464583,1.0,1.0,1576.4119999999998,1751.419,431.43,105.365,0.0,86.208,1330.8139999999999,25.435,0.0,0.0,256.995,0.0,0.0,0.0,0.0,0.1422922391434294
27,2014-04-29,1,7.0,0.3333333333333333,1.0,0.11588613406795228,4310.028000354766,2.0,4.0,1327.81,2115.026,357.10600000000005,124.05300000000001,0.0,19.066000000000003,337.9510000000001,194.576,0.0,0.0,105.52200000000002,0.0,0.0,0.0,0.0,0.14949509464582822
