,date,weekday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,mood_std,circumplex.arousal_std,circumplex.valence_std,activity_std,days
0,2014-04-01,1,8.0,-1.0,1.5,,2715.7419991493234,4.0,0.0,259.09400000000005,1616.404,634.479,0.0,0.0,31.127,265.192,13.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
1,2014-04-02,2,7.0,0.0,0.0,0.1649309645848953,6280.1409983634985,5.0,2.0,557.439,2087.999,2623.6380000000004,0.0,0.0,54.259,82.982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2167225375878998,1
2,2014-04-03,3,8.0,-0.25,0.5,0.113518875002816,4925.860998630524,2.0,1.0,311.777,2912.9420000000005,4928.335,0.0,0.0,58.17,113.405,0.0,319.217,0.0,0.0,0.0,0.0,0.0,0.0,0.1320346973283897,2
3,2014-04-04,4,8.0,-0.5,0.5,0.0739499212532008,5236.956001520157,1.0,4.0,314.78000000000003,3309.647000000001,541.524,0.0,0.0,0.0,57.90899999999999,61.324,0.0,0.0,5.024,0.0,0.0,0.0,0.0,0.1382061047854932,3
4,2014-04-05,5,8.4,1.4,1.4,0.0623570148156424,3774.8659999370575,5.0,0.0,1081.431,1495.6919999999998,860.0659999999999,0.0,0.0,0.0,131.054,198.788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0854844380161436,4
5,2014-04-06,6,7.6,-1.4,0.0,0.0647061348433981,4897.057998180391,1.0,4.0,588.083,2678.5760000000005,1167.762,0.0,0.0,0.0,69.807,188.905,243.971,0.0,10.029,0.0,0.0,0.0,0.0,0.1024617256607139,5
6,2014-04-07,0,7.0,-0.5,-0.5,0.0824316086519032,5388.959000110626,11.0,8.0,1756.4860000000003,2536.077,1211.1130000000005,0.0,0.0,0.0,52.179,0.0,90.097,0.0,0.0,22.431,0.0,0.0,0.0,0.1356846073477761,6
7,2014-04-08,1,7.8,0.4,0.2,0.0716250473684297,4178.6540014743805,1.0,0.0,667.61,2672.6900000000005,1340.512,0.0,0.0,0.0,65.568,48.579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1186514443758622,7
8,2014-04-09,2,7.333333333333333,0.3333333333333333,0.0,0.08153097175156,4124.162000179292,15.0,2.0,1278.908,2117.4980000000005,2505.198,0.0,0.0,0.0,26.176,0.0,85.631,0.0,0.0,0.0,0.0,0.0,0.0,0.1421812116518549,8
9,2014-04-10,3,8.25,0.25,0.75,0.0853813925250737,4656.294999599457,2.0,0.0,168.361,3238.077,844.4039999999999,0.0,0.0,0.0,84.35600000000001,338.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1091586494651116,9
10,2014-04-11,4,7.666666666666667,0.3333333333333333,0.3333333333333333,0.1336439448450949,4124.542999267577,6.0,1.0,1443.436,2012.92,532.339,0.0,0.0,0.0,98.088,0.0,114.418,0.0,13.118,0.0,0.0,0.0,0.0,0.1480978744936011,10
11,2014-04-12,5,8.6,0.2,0.8,0.0925612741454669,2406.448000192642,5.0,2.0,380.201,1372.1370000000002,505.393,0.0,0.0,0.0,49.503,92.404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1425388077116096,11
12,2014-04-13,6,8.0,-1.8,0.6,0.1148681263077695,3048.489998817444,6.0,0.0,189.339,1520.744,661.141,0.0,0.0,0.0,82.59100000000001,476.366,32.605,0.0,0.0,0.0,0.0,0.0,0.0,0.186427369114819,12
13,2014-04-14,0,7.5,0.5,0.5,0.0927647268668214,6525.473998785022,3.0,0.0,1518.633,3543.626,621.1710000000002,0.0,0.0,0.0,54.104,0.0,32.21,0.0,0.0,0.0,0.0,0.0,0.0,0.1114972822477707,13
14,2014-04-15,1,8.0,0.0,0.5,0.1203548407337102,5020.396999835964,8.0,2.0,635.3030000000001,1951.846,1036.17,0.0,0.0,0.0,127.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1573389196950474,14
15,2014-04-16,2,8.5,0.75,0.75,0.1335305763470504,4246.232999801635,7.0,0.0,1230.116,2011.749,2182.14,0.0,0.0,0.0,47.743,363.157,243.92900000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.138233491518926,15
16,2014-04-17,3,8.5,0.5,0.5,0.0672055616251388,4340.205000877383,4.0,0.0,1464.969,1255.765,1050.2759999999998,0.0,0.0,0.0,17.195,0.0,149.346,0.0,0.0,0.0,0.0,0.0,0.0,0.1389697592204372,16
17,2014-04-18,4,7.0,-1.0,1.0,0.1330598882647897,8390.177999973299,2.0,1.0,987.761,2287.9570000000003,3508.6270000000004,0.0,0.0,0.0,130.114,159.728,100.335,0.0,0.0,0.0,0.0,0.0,0.0,0.1541786467717738,17
